Ticker,Name,company
BAC,Bank of America Corporation,Bank of America Corporation (BAC)
T,AT&T Inc.,AT&T Inc. (T)
MO,"Altria Group, Inc.","Altria Group, Inc. (MO)"
DAL,"Delta Air Lines, Inc.","Delta Air Lines, Inc. (DAL)"
AA,Alcoa Corporation,Alcoa Corporation (AA)
AXP,American Express Company,American Express Company (AXP)
DD,E. I. du Pont de Nemours and Company,E. I. du Pont de Nemours and Company (DD)
BABA,Alibaba Group Holding Limited,Alibaba Group Holding Limited (BABA)
ABT,Abbott Laboratories,Abbott Laboratories (ABT)
UA,"Under Armour, Inc.","Under Armour, Inc. (UA)"
AIG,"American International Group, Inc.","American International Group, Inc. (AIG)"
ALL,The Allstate Corporation,The Allstate Corporation (ALL)
ACN,Accenture plc,Accenture plc (ACN)
ABBV,AbbVie Inc.,AbbVie Inc. (ABBV)
MT,ArcelorMittal,ArcelorMittal (MT)
LLY,Eli Lilly and Company,Eli Lilly and Company (LLY)
AGN,Allergan plc,Allergan plc (AGN)
APA,Apache Corporation,Apache Corporation (APA)
APC,Anadarko Petroleum Corporation,Anadarko Petroleum Corporation (APC)
NLY,"Annaly Capital Management, Inc.","Annaly Capital Management, Inc. (NLY)"
ABX,Barrick Gold Corporation,Barrick Gold Corporation (ABX)
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company (ADM)
LUV,Southwest Airlines Co.,Southwest Airlines Co. (LUV)
PANW,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc. (PANW)"
AET,Aetna Inc.,Aetna Inc. (AET)
AEP,"American Electric Power Company, Inc.","American Electric Power Company, Inc. (AEP)"
DB,Deutsche Bank Aktiengesellschaft,Deutsche Bank Aktiengesellschaft (DB)
RAI,Reynolds American Inc.,Reynolds American Inc. (RAI)
AEM,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited (AEM)
APD,"Air Products and Chemicals, Inc.","Air Products and Chemicals, Inc. (APD)"
NVS,Novartis AG,Novartis AG (NVS)
ANF,Abercrombie & Fitch Co.,Abercrombie & Fitch Co. (ANF)
RAD,Rite Aid Corporation,Rite Aid Corporation (RAD)
A,"Agilent Technologies, Inc.","Agilent Technologies, Inc. (A)"
AZO,"AutoZone, Inc.","AutoZone, Inc. (AZO)"
AN,"AutoNation, Inc.","AutoNation, Inc. (AN)"
AZN,AstraZeneca PLC,AstraZeneca PLC (AZN)
AES,The AES Corporation,The AES Corporation (AES)
GAS,AGL Resources Inc.,AGL Resources Inc. (GAS)
BUD,Anheuser-Busch InBev SA/NV,Anheuser-Busch InBev SA/NV (BUD)
ARR,"ARMOUR Residential REIT, Inc.","ARMOUR Residential REIT, Inc. (ARR)"
BDX,"Becton, Dickinson and Company","Becton, Dickinson and Company (BDX)"
AKS,AK Steel Holding Corporation,AK Steel Holding Corporation (AKS)
AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P. (AB)
CS,Credit Suisse Group AG,Credit Suisse Group AG (CS)
AFL,Aflac Incorporated,Aflac Incorporated (AFL)
AMP,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc. (AMP)"
AVP,"Avon Products, Inc.","Avon Products, Inc. (AVP)"
AEO,"American Eagle Outfitters, Inc.","American Eagle Outfitters, Inc. (AEO)"
AWK,"American Water Works Company, Inc.","American Water Works Company, Inc. (AWK)"
NVO,Novo Nordisk A/S,Novo Nordisk A/S (NVO)
ALK,"Alaska Air Group, Inc.","Alaska Air Group, Inc. (ALK)"
PAA,"Plains All American Pipeline, L.P.","Plains All American Pipeline, L.P. (PAA)"
AAP,"Advance Auto Parts, Inc.","Advance Auto Parts, Inc. (AAP)"
NAT,Nordic American Tankers Limited,Nordic American Tankers Limited (NAT)
FAV,First Trust Dividend and Income Fund,First Trust Dividend and Income Fund (FAV)
AIV,Apartment Investment and Management Company,Apartment Investment and Management Company (AIV)
AEE,Ameren Corporation,Ameren Corporation (AEE)
UBS,UBS Group AG,UBS Group AG (UBS)
ANTM,"Anthem, Inc.","Anthem, Inc. (ANTM)"
AGU,Agrium Inc.,Agrium Inc. (AGU)
AG,First Majestic Silver Corp.,First Majestic Silver Corp. (AG)
ABC,AmerisourceBergen Corporation,AmerisourceBergen Corporation (ABC)
STO,Statoil ASA,Statoil ASA (STO)
ATI,Allegheny Technologies Incorporated,Allegheny Technologies Incorporated (ATI)
ADT,The ADT Corporation,The ADT Corporation (ADT)
